Date,Task / Feature,Sub Task,Hour,Type,Project,Version
01-Feb-2019,Meeting,Meeting with all team (weekly),4,Meeting,Others,
01-Feb-2019,Meeting,WPUF release and new feature meeting,2,Meeting,Others,
01-Feb-2019,Dokan,Dokan testing new version after realese,3,Checking,Others,
04-Feb-2019,PM,PM report improvement analysis and doc for project reports,5,R&D,Others,
04-Feb-2019,Dokan,Dokan app requirement analysis for develop app admin plugin,3,R&D,Others,
05-Feb-2019,WPUF,Feature analysis for next milestone of WPUF release,3,R&D,Others,
05-Feb-2019,PM,PM report improvement for task reporting,3,R&D,Others,
05-Feb-2019,POS,POS check and analysis for new features with estimation date,3,R&D,Others,
06-Feb-2019,Dokan,Dokan task list milestone set for free 2.9.10 and pro 2.9.5 ,5,R&D,Others,
06-Feb-2019,Dokan,Vendor add and update form data checking,3,R&D,Others,
06-Feb-2019,Dokan,Dokan product brand analysis integration with YITH brand,1,R&D,Dokan,
07-Feb-2019,Dokan,Dokan Vendor export by admin analysis,1,R&D,Dokan,
07-Feb-2019,Dokan,Dokan product abuse report mockup and feature R&D,3,R&D,Dokan,
07-Feb-2019,Milestone,Check february milestone for all projects release and list this,3,R&D,Others,
07-Feb-2019,ERP,Employee leave report by custom date logic buildup,2,R&D,Others,
08-Feb-2019,Meeting,Meeting with all team (weekly),8,Meeting,Others,
11-Feb-2019,ERP,Remaining task list for accounting and assign them with time,2,R&D,Others,
11-Feb-2019,Dokan,Release task test and take screenshot for doc,2,R&D,Dokan,
11-Feb-2019,POS,Shortcut key for pos analysis and select,1,R&D,Others,
11-Feb-2019,Dokan,payment gateway and improvement disscuss with business team,1,R&D,Dokan,
11-Feb-2019,Dokan,Task list organize for next release and check status,2,R&D,Dokan,
12-Feb-2019,Dokan,Pro release test check with changelog,2,R&D,Dokan,
12-Feb-2019,weForms,Premium page and welcome page content and video,2,R&D,Others,
12-Feb-2019,Dokan,Dokan partnership with payment gateway sagepay analysis,3,R&D,Others,
12-Feb-2019,Dokan ,Task check for pro v2.9.5 release,3,R&D,Dokan,
13-Feb-2019,Dokan,Subscription task check and describe next task,2,R&D,Dokan,
13-Feb-2019,PM,Reporting improvements details field list,2,R&D,Dokan,
13-Feb-2019,Milestone,Manage all project tasks to kanban board,4,R&D,Others,
14-Feb-2019,weForms,Release meeting ,1,Meeting,Others,
14-Feb-2019,Dokan,Pro v2.9.5 release meeting,1,Meeting,Dokan,
14-Feb-2019,PM,Release meeting and calander view presentation,1,R&D,Others,
14-Feb-2019,ERP,ERP release meeting,1,Meeting,Others,
14-Feb-2019,ERP,Release task processing with nadim,1,R&D,Others,
14-Feb-2019,Milestone,Manage all project tasks to kanban board,3,R&D,Others,
15-Feb-2019,Meeting,Meeting with all team about development,4,Meeting,Others,
15-Feb-2019,Dokan,Dokan feature analysis,2,R&D,Dokan,
15-Feb-2019,POS,POS presentation,2,Presentation,Others,
18-Feb-2019,POS,POS Feature analysis,8,R&D,Others,
19-Feb-2019,POS,POS Feature analysis,6,R&D,Others,
19-Feb-2019,Dokan,Dokan combined commission R&D with saimon,2,R&D,Others,
20-Feb-2019,Dokan,Dokan code formation (manage global functions) R&D,2,R&D,Others,
20-Feb-2019,Dokan,Vendor finance report improvement R&D,4,R&D,Others,
20-Feb-2019,POS,POS Feature presentation and finalise with design,2,R&D,Others,
22-Feb-2019,Meeting,Meeting with all team (weekly),4,Meeting,Others,
