Date,Task / Feature,Sub Task,Hour,Type,Project,Version
01-Mar-2019,Meeting,Meeting with all team (weekly),4,Meeting,Others,
01-Mar-2019,Dokan Vendor report SRS,Dokan Vendor report SRS,4,New Feature,Others,
04-Mar-2019,Dokan Vendor report SRS,Dokan Vendor report SRS,4,New Feature,Others,
04-Mar-2019,Project planning,Plan upcoming task management,4,Meeting,Others,
05-Mar-2019,Dokan App design,Design check and instruct for shipping and variation,3,R&D,Dokan,
05-Mar-2019,POS design,"Design check and instruct for receipt, outlate, counter and cashier",4,R&D,Others,
05-Mar-2019,Dokan Abuse reporting,Analysis and tweak some mockup,1,R&D,Others,
06-Mar-2019,POS design,"Design check and instruct for receipt, outlate, counter and cashier",4,R&D,Others,
06-Mar-2019,Dokan App design,Design check and instruct for shipping and variation,2,R&D,Dokan,
06-Mar-2019,ERP Accounting tax,Testing and presentation ERP accounting tax,2,R&D,Others,
07-Mar-2019,Milestone setup for developers,Set all milestone and estimation time for developers,5,R&D,Others,
07-Mar-2019,Dokan Abuse reporting mockup,list table abuse single view and email mockup,4,R&D,Others,
08-Mar-2019,Meeting,Meeting with all team (weekly),6,Meeting,Others,
08-Mar-2019,WP org plugin seo analysis,Analysis algorithm for plugin listing on wp org,2,R&D,Others,
11-Mar-2019,WP org plugin seo analysis,Analysis algorithm for plugin listing on wp org,4,R&D,Others,
11-Mar-2019,weFamily day gift for raffle draw,buy weFamily day raffle draw gift,3,Others,Others,
12-Mar-2019,Dokan combine commision,Dokan combine commision check and update,3,R&D,Dokan,
12-Mar-2019,weFamily day gift guest,buy weFamily guest gift,4,Others,Others,
13-Mar-2019,Meeting on dokan vendor dashboard design,Meeting on dokan vendor dashboard design,2,R&D,Dokan,
13-Mar-2019,WP org plugin seo analysis,Analysis algorithm for plugin listing on wp org,4,R&D,Others,
13-Mar-2019,PM display github integration,PM presentation meeting github integration,1,R&D,Others,
14-Mar-2019,Extend vendor review system,Admin should be able to edit/mark spam vendor review,3,R&D,Dokan,
14-Mar-2019,Bulk assign single products to a multiple vendor,Bulk assign single products to a multiple vendor,2,R&D,Dokan,
14-Mar-2019,Dokan elementor & store category,Presentation on module,3,R&D,Dokan,
15-Mar-2019,weFamily day manage events instruments,Check and collect all instruments,7,Others,Others,
19-Mar-2019,Dokan features status check for 2019,Check all features status and list update,4,R&D,Dokan,
19-Mar-2019,PM integration with github presentation,Github integration with PM display for release,2,Presentation,Others,
20-Mar-2019,Dokan features status check for 2019,Check all features status and list update,4,R&D,Dokan,
20-Mar-2019,Accounting team task status check,Attend the meeting for update ,1,R&D,Others,
20-Mar-2019,Dokan competitor site setup,Site setup for test and R&D on dokan competitor,4,R&D,Dokan,
21-Mar-2019,Dokan competitor site analysis,R&D on dokan competitor,4,R&D,Dokan,
21-Mar-2019,Check for themeforest theme author,Themeforest theme author search for out theme creation,4,R&D,Others,
22-Mar-2019,Meeting,Meeting with all team (weekly),8,Meeting,Others,
25-Mar-2019,PM kanban board task import from list,Task import from list by filtering task list from kanban board,4,R&D,Others,
25-Mar-2019,Dokan competitor site analysis,R&D on dokan competitor,4,R&D,Dokan,
27-Mar-2019,Dokan competitor site analysis,R&D on dokan competitor,8,R&D,Dokan,
28-Mar-2019,Dokan competitor site analysis,R&D on dokan competitor,4,R&D,Dokan,
29-Mar-2019,Meeting,Meeting with all team (weekly),5,Meeting,Others,
29-Mar-2019,Dokan competitor site analysis,R&D on dokan competitor,3,R&D,Dokan,
